# Selected gene manifest
# source_doi=10.5281/zenodo.15649338
# archive=Pangolin_hg38_snvs_masked.zip
# published_bytes=12988141317
# published_md5=679ef0b50e511b6102b4b88fbf811108
# observed_member_sha256=0852168353c8d309a1850bc64049eb8591b4097c5e8635d1042458c5c37c261b
gene	direction	size_quartile	compressed_bytes	selection
ENSG00000000003	descending	2	138997	stratified
ENSG00000000005	ascending	2	157439	stratified
ENSG00000000457	descending	3	455656	stratified
ENSG00000000460	ascending	4	1966771	stratified
ENSG00000001084	descending	4	1182214	stratified
ENSG00000001167	ascending	3	294879	stratified
ENSG00000002933	ascending	1	56867	stratified
ENSG00000003056	descending	1	102177	stratified
ENSG00000010610	ascending	3	345223	required-edge
ENSG00000064419	descending	4	1016379	stratified
ENSG00000064933	ascending	4	945663	stratified
ENSG00000069849	ascending	3	511252	stratified
ENSG00000071794	descending	3	584547	stratified
ENSG00000077274	descending	2	264707	stratified
ENSG00000078898	ascending	2	185353	stratified
ENSG00000085382	descending	4	1315162	stratified
ENSG00000087258	ascending	4	1723997	stratified
ENSG00000100023	ascending	3	368862	stratified
ENSG00000100385	descending	3	513823	stratified
ENSG00000102225	ascending	2	136450	stratified
ENSG00000102393	descending	2	157545	stratified
ENSG00000104093	descending	4	1775742	stratified
ENSG00000104142	ascending	1	104254	stratified
ENSG00000105131	descending	1	76117	stratified
ENSG00000106013	ascending	4	2812570	stratified
ENSG00000106689	ascending	3	328379	stratified
ENSG00000107566	descending	3	361424	stratified
ENSG00000111445	ascending	2	214647	stratified
ENSG00000111536	descending	2	245546	stratified
ENSG00000113163	descending	4	1487142	stratified
ENSG00000115183	ascending	4	2694339	stratified
ENSG00000116266	ascending	3	635997	stratified
ENSG00000116604	descending	3	392900	stratified
ENSG00000118655	ascending	1	93377	stratified
ENSG00000121073	descending	1	95191	stratified
ENSG00000121858	descending	2	189632	stratified
ENSG00000122375	ascending	2	140214	stratified
ENSG00000122591	descending	4	1199481	stratified
ENSG00000125089	ascending	3	619342	stratified
ENSG00000125414	descending	3	312786	stratified
ENSG00000125970	ascending	4	1162931	stratified
ENSG00000130538	ascending	1	10349	stratified
ENSG00000131050	ascending	2	204862	stratified
ENSG00000131910	descending	1	27410	stratified
ENSG00000132485	descending	2	186104	stratified
ENSG00000134013	descending	4	1275329	stratified
ENSG00000134697	descending	3	296714	stratified
ENSG00000134760	ascending	3	415279	stratified
ENSG00000136040	ascending	4	1622204	stratified
ENSG00000139725	descending	2	272163	stratified
ENSG00000140009	descending	4	2587462	stratified
ENSG00000140368	ascending	3	474222	stratified
ENSG00000140829	ascending	2	219928	stratified
ENSG00000141030	descending	3	353318	stratified
ENSG00000141499	ascending	2	181677	required-edge
ENSG00000141510	descending	2	257361	required-edge
ENSG00000142541	ascending	1	63993	stratified
ENSG00000142949	ascending	4	1013075	stratified
ENSG00000143546	descending	1	13220	stratified
ENSG00000147257	descending	4	4483160	stratified
ENSG00000149201	ascending	3	497983	stratified
ENSG00000150628	descending	2	117344	stratified
ENSG00000150764	ascending	4	957886	stratified
ENSG00000151640	ascending	2	207869	stratified
ENSG00000151773	descending	3	556345	stratified
ENSG00000154678	descending	4	6546816	stratified
ENSG00000158023	ascending	4	875146	stratified
ENSG00000159197	ascending	1	75811	stratified
ENSG00000160310	ascending	3	314793	stratified
ENSG00000160318	descending	1	24023	stratified
ENSG00000162032	descending	2	183084	stratified
ENSG00000162426	ascending	2	263505	stratified
ENSG00000162601	descending	3	565803	stratified
ENSG00000163848	descending	4	1489318	stratified
ENSG00000165995	ascending	4	4043229	stratified
ENSG00000166181	ascending	3	333578	stratified
ENSG00000166340	descending	1	81591	stratified
ENSG00000166569	descending	3	440495	stratified
ENSG00000166819	descending	2	163884	stratified
ENSG00000167136	ascending	1	46602	stratified
ENSG00000167578	ascending	2	192015	stratified
ENSG00000169129	descending	4	1131225	required-edge
ENSG00000169862	descending	4	9018096	stratified
ENSG00000171462	descending	1	71829	stratified
ENSG00000171497	descending	2	151680	stratified
ENSG00000171858	ascending	1	18809	stratified
ENSG00000172461	ascending	4	1919425	stratified
ENSG00000172661	ascending	3	693969	stratified
ENSG00000172831	ascending	2	123673	stratified
ENSG00000173681	descending	3	574819	stratified
ENSG00000175727	ascending	3	718816	required-edge
ENSG00000177243	descending	1	16200	stratified
ENSG00000177370	ascending	1	68718	stratified
ENSG00000178568	descending	4	11479744	stratified
ENSG00000179562	descending	2	142099	stratified
ENSG00000181092	ascending	2	163440	stratified
ENSG00000182591	descending	1	10352	stratified
ENSG00000182700	ascending	1	34807	stratified
ENSG00000182866	ascending	3	343920	stratified
ENSG00000183137	ascending	4	801195	stratified
ENSG00000183856	descending	3	522208	stratified
ENSG00000185974	ascending	2	220968	required-edge
ENSG00000186810	descending	1	28868	stratified
ENSG00000187714	ascending	1	24802	stratified
ENSG00000187754	descending	2	116604	stratified
ENSG00000187764	descending	4	1386785	stratified
ENSG00000187905	ascending	2	197444	stratified
ENSG00000197050	ascending	4	1235278	stratified
ENSG00000197114	ascending	3	293059	stratified
ENSG00000197256	descending	3	352037	stratified
ENSG00000197903	descending	1	5915	stratified
ENSG00000198967	ascending	1	78436	stratified
ENSG00000203907	descending	2	263863	stratified
ENSG00000204070	ascending	2	157796	stratified
ENSG00000212899	descending	1	7927	stratified
ENSG00000214736	ascending	1	25704	stratified
ENSG00000214827	descending	4	841156	stratified
ENSG00000236761	descending	1	27244	stratified
ENSG00000237524	ascending	1	41257	stratified
ENSG00000241685	ascending	3	400167	stratified
ENSG00000243708	ascending	2	132017	stratified
ENSG00000243710	ascending	4	818824	stratified
ENSG00000244405	descending	3	658067	stratified
ENSG00000248751	descending	2	165571	stratified
ENSG00000268320	ascending	1	18225	stratified
ENSG00000270339	descending	1	7838	stratified
ENSG00000288639	ascending	2	167844	stratified
ENSG00000288701	ascending	4	1318048	stratified
ENSG00000288705	ascending	3	630197	stratified
ENSG00000288710	descending	2	236894	stratified
ENSG00000288716	descending	1	1088	stratified
ENSG00000288721	descending	4	1236526	stratified
ENSG00000288722	ascending	1	17747	stratified
ENSG00000288725	descending	3	717509	stratified
